t,plant,axis,Conc_Nitrates_Soil,Tsoil,mineralisation,nitrates,volume
0,1,MS,1290113.73490,5.70000,0.00233,1290113.73490,1
1,1,MS,1289665.15035,4.30833,0.00207,1289665.15035,1
2,1,MS,1289113.67376,3.38333,0.00191,1289113.67376,1
3,1,MS,1288411.21211,3.90833,0.00200,1288411.21211,1
4,1,MS,1287681.77540,2.91667,0.00183,1287681.77540,1
5,1,MS,1286973.51167,1.64167,0.00164,1286973.51167,1
6,1,MS,1286089.88762,3.59167,0.00194,1286089.88762,1
7,1,MS,1284760.31467,7.91667,0.00281,1284760.31467,1
8,1,MS,1283104.44990,10.35000,0.00344,1283104.44990,1
9,1,MS,1281088.09430,12.45833,0.00408,1281088.09430,1
10,1,MS,1278818.15880,13.91667,0.00459,1278818.15880,1
11,1,MS,1276263.96328,15.12500,0.00505,1276263.96328,1
12,1,MS,1273501.63686,16.15000,0.00548,1273501.63686,1
13,1,MS,1270630.04519,16.32500,0.00555,1270630.04519,1
14,1,MS,1267814.50826,16.07500,0.00545,1267814.50826,1
15,1,MS,1265027.73068,15.62500,0.00526,1265027.73068,1
16,1,MS,1262412.57928,14.81667,0.00493,1262412.57928,1
17,1,MS,1259916.25106,13.98333,0.00461,1259916.25106,1
18,1,MS,1257548.94468,13.36667,0.00439,1257548.94468,1
19,1,MS,1255147.19246,13.40833,0.00441,1255147.19246,1
20,1,MS,1252903.42426,12.70000,0.00416,1252903.42426,1
21,1,MS,1251047.08282,10.31667,0.00343,1251047.08282,1
22,1,MS,1249438.66201,8.69167,0.00300,1249438.66201,1
23,1,MS,1247943.60438,7.80000,0.00278,1247943.60438,1
24,1,MS,1246382.18908,8.45000,0.00294,1246382.18908,1
25,1,MS,1244847.74395,8.25000,0.00289,1244847.74395,1
26,1,MS,1243261.97262,8.80000,0.00302,1243261.97262,1
27,1,MS,1241603.41085,9.36667,0.00317,1241603.41085,1
28,1,MS,1240055.78691,8.70000,0.00300,1240055.78691,1
29,1,MS,1238535.28035,8.51667,0.00295,1238535.28035,1
30,1,MS,1236786.72534,10.40833,0.00345,1236786.72534,1
31,1,MS,1234646.84264,12.94167,0.00424,1234646.84264,1
32,1,MS,1232315.45027,14.32500,0.00474,1232315.45027,1
33,1,MS,1230021.68214,14.15000,0.00468,1230021.68214,1
34,1,MS,1227505.93457,15.61667,0.00525,1227505.93457,1
35,1,MS,1224768.87070,16.65000,0.00570,1224768.87070,1
36,1,MS,1221968.74836,17.21667,0.00596,1221968.74836,1
37,1,MS,1219224.93835,16.81667,0.00577,1219224.93835,1
38,1,MS,1216465.23540,17.07500,0.00589,1216465.23540,1
39,1,MS,1213737.10652,16.74167,0.00574,1213737.10652,1
40,1,MS,1211181.82448,16.05000,0.00544,1211181.82448,1
