t,plant,axis,C_exudated,GA,SAM_height,SAM_temperature,Total_Transpiration,cohort,delta_teq,delta_teq_roots,height,minerals_plant,mstruct,nb_leaves,senesced_mstruct,status,sum_TT,sum_respi_roots,sum_respi_shoot,teq_since_primordium
252,1,MS,291.49970,False,0,26.00000,0.00587,1,23340.32672,23340.32672,120,0.10703,2.45011,12,0.00275,reproductive,3.24171,20.43967,69.08544,23340.32672
253,1,MS,156.46886,False,0,26.00000,0.00587,1,23340.32672,23340.32672,120,0.10703,2.45084,12,0.00275,reproductive,3.24171,25.13396,64.38757,23340.32672
254,1,MS,84.42246,False,0,26.90000,0.00699,1,23974.47000,23974.47000,120,0.10703,2.45072,12,0.00558,reproductive,6.57150,27.73174,66.34143,47314.79672
255,1,MS,35.71541,False,0,26.90000,0.00699,1,23974.47000,23974.47000,120,0.10703,2.45147,12,0.00558,reproductive,6.57150,27.46137,65.40827,47314.79672
256,1,MS,34.52538,False,0,26.50000,0.00552,1,23718.27286,23718.27286,120,0.10703,2.45141,12,0.00837,reproductive,9.86570,26.86292,63.69283,71033.06959
257,1,MS,15.35691,False,0,26.50000,0.00552,1,23718.27286,23718.27286,120,0.10703,2.45211,12,0.00837,reproductive,9.86570,23.88406,62.28363,71033.06959
258,1,MS,26.77387,False,0,26.90000,0.01051,1,23974.47000,23974.47000,120,0.10703,2.45205,12,0.01120,reproductive,13.19549,26.93941,65.41542,95007.53959
259,1,MS,15.10875,False,0,26.90000,0.01051,1,23974.47000,23974.47000,120,0.10703,2.45284,12,0.01120,reproductive,13.19549,29.83115,65.96629,95007.53959
260,1,MS,31.12255,False,0,29.50000,0.04269,1,24499.31254,24499.31254,120,0.10703,2.45278,12,0.01408,reproductive,16.59817,31.26534,75.24874,119506.85212
261,1,MS,23.43104,False,0,29.50000,0.04269,1,24499.31254,24499.31254,120,0.10703,2.45355,12,0.01408,reproductive,16.59817,34.55952,75.31954,119506.85212
262,1,MS,41.98813,False,0,32.20000,0.08682,1,22907.02192,22907.02192,120,0.10703,2.45351,12,0.01678,reproductive,19.77970,36.53100,85.23181,142413.87404
263,1,MS,33.63791,False,0,32.20000,0.08682,1,22907.02192,22907.02192,120,0.10703,2.45420,12,0.01678,reproductive,19.77970,39.82509,84.50153,142413.87404
264,1,MS,49.01855,False,0,34.20000,0.09523,1,20660.34478,20660.34478,120,0.10703,2.45418,12,0.01922,reproductive,22.64920,40.84768,91.11983,163074.21882
265,1,MS,35.96402,False,0,34.20000,0.09523,1,20660.34478,20660.34478,120,0.10703,2.45487,12,0.01922,reproductive,22.64920,40.47853,91.45692,163074.21882
266,1,MS,49.77104,False,0,34.00000,0.10689,1,20912.35884,20912.35884,120,0.10703,2.45486,12,0.02168,reproductive,25.55369,39.78077,91.48874,183986.57766
267,1,MS,35.79686,False,0,34.00000,0.10689,1,20912.35884,20912.35884,120,0.10703,2.45556,12,0.02168,reproductive,25.55369,39.20855,91.92067,183986.57766
268,1,MS,49.42000,False,0,32.90000,0.08893,1,22198.91634,22198.91634,120,0.10703,2.45558,12,0.02430,reproductive,28.63687,36.63780,86.31369,206185.49401
269,1,MS,32.18067,False,0,32.90000,0.08893,1,22198.91634,22198.91634,120,0.10703,2.45635,12,0.02430,reproductive,28.63687,34.51754,87.15665,206185.49401
270,1,MS,44.78069,False,0,30.30000,0.03881,1,24241.96733,24241.96733,120,0.10703,2.45638,12,0.02716,reproductive,32.00381,30.53964,77.85327,230427.46134
271,1,MS,23.45003,False,0,30.30000,0.03881,1,24241.96733,24241.96733,120,0.10703,2.45721,12,0.02716,reproductive,32.00381,28.14778,77.90385,230427.46134
272,1,MS,35.38782,False,0,28.30000,0.01332,1,24513.60573,24513.60573,120,0.10703,2.45726,12,0.03005,reproductive,35.40848,26.40361,71.69467,254941.06706
273,1,MS,14.98195,False,0,28.30000,0.01332,1,24513.60573,24513.60573,120,0.10703,2.45809,12,0.03005,reproductive,35.40848,25.83773,71.29046,254941.06706
274,1,MS,28.32433,False,0,27.90000,0.01254,1,24418.99557,24418.99557,120,0.10703,2.45815,12,0.03293,reproductive,38.80001,25.40266,69.43899,279360.06264
275,1,MS,11.18381,False,0,27.90000,0.01254,1,24418.99557,24418.99557,120,0.10703,2.45898,12,0.03293,reproductive,38.80001,24.33672,69.10657,279360.06264
